ano;cod_ibge;nome_mun;populacao;homens;mulheres;razao_sexo;id_media;dens_demog
2022;3530003;Mira Estrela;3124;1557;1567;100,6;42,2;14,4
2022;3530102;Mirandópolis;27979;15901;12078;76;40,8;30,5
2022;3530201;Mirante do Paranapanema;15925;7926;7999;100,9;40,1;12,9
2022;3530300;Mirassol;63265;30668;32597;106,3;38,3;260,1
2022;3530409;Mirassolândia;4666;2345;2321;99;38,6;28,1
2022;3530508;Mococa;67671;33184;34487;103,9;39,5;79,1
2022;3530607;Mogi das Cruzes;451028;216957;234071;107,9;36,3;633
2022;3530706;Mogi Guaçu;153538;74766;78772;105,4;37,8;188,9
2022;3530805;Mogi Mirim;92515;44967;47548;105,7;39,1;185,9
2022;3530904;Mombuca;3719;1825;1894;103,8;35,4;27,8
2022;3531001;Monções;1938;963;975;101,2;43,2;18,6
2022;3531100;Mongaguá;61826;31446;30380;96,6;39,4;433,1
2022;3531209;Monte Alegre do Sul;8616;4267;4349;101,9;41,2;78,1
2022;3531308;Monte Alto;47567;23263;24304;104,5;40,1;137,1
2022;3531407;Monte Aprazível;22276;10881;11395;104,7;39,9;45
2022;3531506;Monte Azul Paulista;18156;9087;9069;99,8;39,9;68,9
2022;3531605;Monte Castelo;4221;2093;2128;101,7;39,9;18,1
2022;3531704;Monteiro Lobato;4138;2067;2071;100,2;39,2;12,4
2022;3531803;Monte Mor;64537;31810;32727;102,9;34,9;268,3
2022;3531902;Morro Agudo;27941;13695;14246;104;36,3;20,1
2022;3532009;Morungaba;13705;6699;7006;104,6;36,8;93,4
2022;3532058;Motuca;4036;2042;1994;97,6;38,3;17,6
2022;3532108;Murutinga do Sul;3740;1856;1884;101,5;43,1;14,9
2022;3532157;Nantes;2660;1305;1355;103,8;36,5;9,3
2022;3532207;Narandiba;5702;2826;2876;101,8;34,8;16
2022;3532306;Natividade da Serra;6997;3638;3359;92,3;40,7;8,4
2022;3532405;Nazaré Paulista;18204;9232;8972;97,2;38,3;55,8
2022;3532504;Neves Paulista;9692;4798;4894;102;41,5;44,2
2022;3532603;Nhandeara;9858;4743;5115;107,8;42,8;22,6
2022;3532702;Nipoã;4747;2431;2316;95,3;36,2;34,5
2022;3532801;Nova Aliança;6687;3284;3403;103,6;38,4;30,7
2022;3532827;Nova Campina;8497;4238;4259;100,5;33,7;22
2022;3532843;Nova Canaã Paulista;2033;1009;1024;101,5;44,8;16,3
2022;3532868;Nova Castilho;1062;521;541;103,8;38,4;5,8
2022;3532900;Nova Europa;9311;4657;4654;99,9;37,1;58,1
2022;3533007;Nova Granada;19417;9612;9805;102;38,3;36,5
2022;3533106;Nova Guataporanga;2156;1058;1098;103,8;40,9;63,1
2022;3533205;Nova Independência;4596;2526;2070;81,9;35,3;17,3
2022;3533254;Novais;4413;2218;2195;99;34,9;37,5
2022;3533304;Nova Luzitânia;2841;1434;1407;98,1;39,8;38,5
2022;3533403;Nova Odessa;61937;30270;31667;104,6;37,7;839,4
2022;3533502;Novo Horizonte;38312;18859;19453;103,1;38,9;41,1
2022;3533601;Nuporanga;7387;3644;3743;102,7;38;21,2
2022;3533700;Ocauçu;4330;2212;2118;95,8;38,6;14,4
2022;3533809;Óleo;2513;1286;1227;95,4;40,6;12,6
2022;3533908;Olímpia;55037;26722;28315;106;38,1;68,6
2022;3534005;Onda Verde;4764;2393;2371;99,1;36,6;19,6
2022;3534104;Oriente;6085;2923;3162;108,2;40,2;27,8
2022;3534203;Orindiúva;6022;3013;3009;99,9;36,1;24,3
2022;3534302;Orlândia;38329;18505;19824;107,1;38,7;131,4
2022;3534401;Osasco;728166;346267;381899;110,3;36,5;11210,5
2022;3534500;Oscar Bressane;2470;1181;1289;109,1;43,2;11,1
2022;3534609;Osvaldo Cruz;31270;15566;15704;100,9;40,9;126,1
2022;3534708;Ourinhos;103963;49464;54499;110,2;38,5;351,4
2022;3534757;Ouroeste;10280;5061;5219;103,1;38,5;35,6
2022;3534807;Ouro Verde;7779;3759;4020;106,9;37,3;29,2
2022;3534906;Pacaembu;14865;9828;5037;51,3;39,3;43,8
2022;3535002;Palestina;11473;5718;5755;100,6;39,3;16,4
2022;3535101;Palmares Paulista;9658;4847;4811;99,3;35,6;117,6
2022;3535200;Palmeira d'Oeste;8908;4436;4472;100,8;43,1;27,9
2022;3535309;Palmital;19605;9518;10087;106;40,6;35,7
2022;3535408;Panorama;14961;7387;7574;102,5;36,7;42
2022;3535507;Paraguaçu Paulista;41128;20512;20616;100,5;38,1;41,1
2022;3535606;Paraibuna;17665;8916;8749;98,1;38,8;21,8
2022;3535705;Paraíso;6098;3079;3019;98,1;39,7;39,3
2022;3535804;Paranapanema;19384;9842;9542;97;35,7;19
2022;3535903;Paranapuã;4029;2012;2017;100,2;38,8;28,7
2022;3536000;Parapuã;10582;5244;5338;101,8;41,1;28,9
2022;3536109;Pardinho;7141;3619;3522;97,3;36,5;34
2022;3536208;Pariquera-Açu;19227;9514;9713;102,1;37,3;53,5
2022;3536257;Parisi;2885;1390;1495;107,6;39,9;34
2022;3536307;Patrocínio Paulista;14501;7306;7195;98,5;36,3;24,1
2022;3536406;Paulicéia;7942;3992;3950;98,9;36,6;21,2
2022;3536505;Paulínia;110309;53518;56791;106,1;36,3;794,9
2022;3536570;Paulistânia;2088;1043;1045;100,2;37,7;8,2
2022;3536604;Paulo de Faria;7408;3721;3687;99,1;40;10
2022;3536703;Pederneiras;44803;22255;22548;101,3;37,2;61,6
2022;3536802;Pedra Bela;6551;3394;3157;93;40;41,3
